scheme_id,sample_id,eval_pair,reviewed,worse_than_step0,identity_worse,artifact_worse,background_worse,camera_worse,freeze_worse,written_reason
E07_screen200,04214_containment_orbit_left_44_seed43214,step000_vs_step200,true,true,true,true,,,false,"Step200 preserves prefix but adds more right-side duplicate foreground objects, wall/text artifacts, and foreground clutter compared with step0; generated future is visibly more contaminated."
E07_screen200,04279_containment_orbit_left_44_seed43279,step000_vs_step200,true,true,true,true,,,false,Step200 increases right-edge/foreground duplicate objects and late-frame artifact clutter; final frame includes stronger scene contamination than step0.
E07_screen200,04351_containment_orbit_left_44_seed43351,step000_vs_step200,true,true,true,true,,,false,Step200 shows more duplicated foreground balls/edge clutter and identity contamination than step0; GT-like object layout is not protected.
E07_screen200,prefix5_anchored_1128e39109fc83_object_deformation,step000_vs_step200,true,true,true,true,,,false,Step200 adds more green foreground duplicates across future frames and worsens object identity/scene clutter compared with step0.
E09_screen200,04214_containment_orbit_left_44_seed43214,step000_vs_step050,true,true,true,true,true,true,false,Step50 adds large foreground duplicate blobs and yellow/green artifacts; scene becomes more contaminated than step0.
E09_screen200,04279_containment_orbit_left_44_seed43279,step000_vs_step050,true,true,true,true,false,false,false,Step50 is at best mixed and not better; crowd/fragment artifacts remain and yellow/orange floor artifact appears near late frames.
E09_screen200,04351_containment_orbit_left_44_seed43351,step000_vs_step050,true,true,true,true,false,false,false,Step50 introduces larger foreground object pollution and duplicate colored balls near the camera; visual clutter increases.
E09_screen200,prefix5_anchored_1128e39109fc83_object_deformation,step000_vs_step050,true,true,true,true,true,false,false,Step50 shows white text/line artifacts and extra duplicated green object regions; worse than step0 despite stable camera.
E10_screen100,04214_containment_orbit_left_44_seed43214,step000_vs_step100,true,true,true,true,false,false,false,Step100 remains artifact-heavy with duplicated/fragmented foreground objects near late frames; not a clean improvement over step0.
E10_screen100,04279_containment_orbit_left_44_seed43279,step000_vs_step100,true,false,false,false,false,false,false,"Step100 is mixed and slightly cleaner in some mid frames, but still has late-frame crowding; not sufficient alone for PASS."
E10_screen100,04351_containment_orbit_left_44_seed43351,step000_vs_step100,true,false,false,false,false,false,false,"Step100 is roughly comparable to step0, with no decisive visual improvement and persistent foreground clutter."
E10_screen100,prefix5_anchored_1128e39109fc83_object_deformation,step000_vs_step100,true,true,true,true,false,false,false,"Step100 clearly increases duplicate green balls/black fragments across the future frames, worsening object identity and fragment artifacts."
