condition_id,sample_id,template,camera_motion,prefix_len,prediction_start_frame,prefix_video_path,image_path,prompt,prompt_path,poses_path,intrinsics_path,gt_full_video_path,gt_future_video_path,fps,height,width,num_frames,source_manifest,source_pair_id,prefix_frames,future_frames,status,not_runnable_reason
8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,5,5,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/intrinsics.npy,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,5,5,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02202_collision_orbit_right_64_seed41202/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/intrinsics.npy,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02202_collision_orbit_right_64_seed41202/full_clean_0_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02215_collision_strafe_left_180_seed41215,02215_collision_strafe_left_180_seed41215,collision,strafe_left_180,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02215_collision_strafe_left_180_seed41215/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02215_collision_strafe_left_180_seed41215/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,5,5,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02222_collision_orbit_right_64_seed41222/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/intrinsics.npy,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02222_collision_orbit_right_64_seed41222/full_clean_0_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,5,5,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02226_collision_orbit_right_64_seed41226/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/intrinsics.npy,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02226_collision_orbit_right_64_seed41226/full_clean_0_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02228_collision_orbit_right_64_seed41228,02228_collision_orbit_right_64_seed41228,collision,orbit_right_64,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02228_collision_orbit_right_64_seed41228/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02228_collision_orbit_right_64_seed41228/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02239_collision_strafe_left_180_seed41239,02239_collision_strafe_left_180_seed41239,collision,strafe_left_180,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02239_collision_strafe_left_180_seed41239/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02239_collision_strafe_left_180_seed41239/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02259_collision_strafe_left_180_seed41259,02259_collision_strafe_left_180_seed41259,collision,strafe_left_180,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02259_collision_strafe_left_180_seed41259/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02259_collision_strafe_left_180_seed41259/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02262_collision_orbit_right_64_seed41262,02262_collision_orbit_right_64_seed41262,collision,orbit_right_64,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02262_collision_orbit_right_64_seed41262/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02262_collision_orbit_right_64_seed41262/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
02276_collision_orbit_right_64_seed41276,02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,5,5,local_assets/dpo_pair_factory_v10/recovered_conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/image.jpg,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/video.mp4,local_assets/dpo_pair_factory_v10/recovered_conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,16.0,480,832,81,manifests/dpo_pair_factory_v10_conditions.jsonl,,5,76,runnable,
