requirement,status,evidence,note
SSH/H20 repo branch and GPU4/5-only policy,PASS,docs/dpo_utility_calibration_v14_status.md (exists),All v14 active calibration/latent monitor commands used physical GPU4 or GPU5. Current GPU check shows GPU4/5 idle. No v14 scale/training process remains.
PRD written before v14 experiment,PASS,docs/experiments/EXP_dpo_utility_calibration_and_latent_monitor_v14.md (exists),PRD exists and has been updated with calibration and V-JEPA monitor conclusions.
Canonical repaired ready500 and v14 subset inventory,PASS,manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl (exists rows=500); reports/dpo_utility_calibration_v14/pair_inventory_summary.md (exists); manifests/dpo_v14_subsets/all500.jsonl (exists rows=500); manifests/dpo_v14_subsets/s_pass.jsonl (exists rows=4); manifests/dpo_v14_subsets/rollout_only.jsonl (exists rows=15); manifests/dpo_v14_subsets/synthetic_controlled.jsonl (exists rows=485); manifests/dpo_v14_subsets/stratified100.jsonl (exists rows=100); manifests/dpo_v14_subsets/local_mask.jsonl (exists rows=485),"Pair inventory covers ready500, S_pass, rollout, synthetic, stratified, and local-mask subsets."
Offline all500/S_pass/rollout real LingBot energy,BLOCKED_PARTIAL,reports/dpo_utility_calibration_v14/energy_utility_all500.csv (exists rows=500); reports/dpo_utility_calibration_v14/energy_utility_s_pass.csv (exists rows=4); reports/dpo_utility_calibration_v14/energy_utility_rollout_only.csv (exists rows=15); reports/dpo_utility_calibration_v14/blocker_retry/real_energy_calibration12_cuda_runtime_limit8/real_energy_calibration12_summary.md (exists); reports/dpo_utility_calibration_v14/blocker_retry/real_energy_diverse12_cuda_runtime/real_energy_diverse12_summary.md (exists),"Coverage files exist, but all500/S_pass/rollout real energy remains incomplete due runtime/cache cost and missing old rollout loser assets. Real-energy evidence was strengthened with calibration12 and diverse12 asset-complete subsets."
Diverse real-energy calibration across failure types,PASS_WITH_LIMITS,manifests/dpo_v14_subsets/asset_complete_prefix5_diverse12.jsonl (exists rows=12); reports/dpo_utility_calibration_v14/energy_utility_diverse12_real.csv (exists rows=12); reports/dpo_utility_calibration_v14/blocker_retry/real_energy_diverse12_cuda_runtime/real_energy_diverse12_summary.json (exists decision=REAL_ENERGY_DIVERSE12_PASS rows=12 ok_rows=12),12/12 rows ok across 12 TypeM-v11 synthetic failure types; 10 positive and 2 negative Delta_ref rows. It improves diversity but is still not all500/rollout coverage.
Beta/lambda/loss response calibration,PASS_WITH_LIMITS,reports/dpo_utility_calibration_v14/beta_loss_response.csv (exists rows=32); reports/dpo_utility_calibration_v14/recommended_dpo_scale.json (exists recommended_utility_type=u_log recommended_beta=1000); reports/dpo_utility_calibration_v14/beta_loss_response_diverse12_real.csv (exists rows=96); reports/dpo_utility_calibration_v14/recommended_dpo_scale_diverse12_real.json (exists recommended_utility_type=NONE_ZERO_UTILITY recommended_beta=None); reports/dpo_utility_calibration_v14/gap_scale_root_cause.md (exists),v13b post-update utilities showed beta=0.1 was no-signal and beta near 1000 enters effective range. Fresh policy=reference real-energy calibration correctly gives NONE_ZERO_UTILITY.
Normalization and regularization design,PASS,reports/dpo_utility_calibration_v14/normalization_regularization_design.md (exists); configs/cam_physgeo/dpo_objective_v14_normalized.yaml (exists),"Design covers per-token/local/sigma normalization, clipped loser gap, winner anchor, local masks, and monitor-first latent regularization."
Latent monitor backend audit,PASS,reports/dpo_utility_calibration_v14/latent_monitor/backend_audit.md (exists),Local V-JEPA2/DINO candidates were found without model downloads.
DINO latent smoke,PASS_SMOKE,reports/dpo_utility_calibration_v14/latent_monitor/dinov2_frame_smoke.csv (exists rows=4); reports/dpo_utility_calibration_v14/latent_monitor/dinov2_frame_smoke_summary.md (exists),DINO frame fallback produced positive margins on the small calibration smoke.
V-JEPA2 WIN/LOSE monitor coverage,PASS_WITH_ASSET_BLOCKERS,reports/dpo_utility_calibration_v14/latent_monitor/trd_vjepa_monitor.csv (exists rows=133); reports/dpo_utility_calibration_v14/latent_monitor/trd_vjepa_summary.md (exists); reports/dpo_utility_calibration_v14/latent_monitor/trd_vjepa_coverage_summary.csv (exists rows=5); reports/dpo_utility_calibration_v14/latent_monitor/missing_rollout_asset_search.md (exists),"133 rows attempted, 74 ok, 74/74 positive token-relation margins for available videos. S_pass/rollout failures are missing asset blockers."
